,title,synopsis,genre,adult
423,Golden Kamuy 2nd Season,second season golden,"['Action', 'Adventure', 'Historical', 'Seinen']",1
424,Durarara x2 Ketsu,mikado continues purge dollars within accordance warped sense justice hopes bring friend back senses bringing yellow scarves together little know far dominant force enter struggle power one friend familiar meanwhile group gathered apartment realizes brink something life-changing event throw spiral confusion anxiety realized reports head found public start appear news begins make move gone brief periods tranquility current turmoil sets stage one final performance thrilling conclusion story finest,"['Action', 'Mystery', 'Supernatural']",1
425,Detective Conan Movie 14 The Lost Ship in the Sky,kid eyes set lady sky jewel aboard bell largest airship world however mysterious terrorist group called red red cat hijacked airship along allies ran,"['Action', 'Mystery', 'Police', 'Shounen']",0
426,Detective Conan Movie 10 Requiem of the Detectives,receiving strange invitation pays visit miracle land theme park along daughter ran detective boys tasked finishing unsolved case mysterious stranger realizing invitations actually elaborate trap two hours solve case face grave danger help familiar faces like kid even group detectives must unravel web clues surrounding case order find culprit bring justice late,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",0
427,Clannad,delinquent finds life dull believes never amount anything along friend skips school plans waste high school days away one day walking school passes young girl muttering quietly without warning exclaims popular food catches attention soon discovers girl name exclaims things likes order motivate claims friends walks away passing encounter nothing however finds noticing around school eventually concedes befriends learns held back year due severe illness dream revive school drama club claiming nothing better decides help achieve goal along help four girls spends time girls learns problems attempts help girl overcome respective obstacle begins realize life dull thought,"['Comedy', 'Drama', 'Romance', 'School', 'Slice', 'of', 'Life', 'Supernatural']",0
428,Ashita no Joe,troubled youth whose solution problems throwing punches lacks manners discipline makes self-taught fighting skills one day wandering slums gets fight local gang although greatly outnumbered effortlessly defeats drawing attention former boxing coach turned alcoholic seeing potential offers train japan greatest boxer first dismisses hopeless drunk trainer saves life agrees live learn art boxing unfortunately personality makes unruly student often falls back old ways survive harsh world new career needs trust mentor master techniques taught however road becoming professional boxer rife struggles test mettle end,"['Action', 'Drama', 'Shounen', 'Slice', 'of', 'Life', 'Sports']",1
429,Zankyou no Terror,painted red word left behind terrorist attack nuclear facility japan government shattered inability act police left frantically searching ways crack perpetrators public clueless six months later strange video makes way onto internet two teenage boys identify sphinx directly challenge police threatening destruction mayhem across unable stop mass panic quickly spreading city desperate leads investigation police struggle act effectively terrorists detective caught middle terror tells story nine twelve two boys behind masked figures sphinx exist yet stand strong world deception secrets make city fall around hopes burying tragic truth,"['Mystery', 'Psychological', 'Thriller']",0
430,Yuusha-Ou GaoGaiGar Final,following gutsy galaxy guard victory empire new threat makes appearance earth guy newly-constructed team french counterpart chasseur battle evil organization among chasseur ranks former cyborg relentless pursuit destroying took away humanity chasseur fight bases around world suddenly attacked recently-discovered q-parts original machines stolen abducted cloned even greater threat known eleven kings sol evicted earth united nations must travel far reaches galaxy battle eleven kings sol save late,"['Adventure', 'Drama', 'Mecha', 'Sci', 'Fi', 'Shounen']",0
431,Tsukimonogatari,studying hard preparation college entrance exams begins notice something strange reflection longer appears mirror characteristic true vampire worried state body enlists help human-like doll master immortal oddity specialist quickly realizing wrong gives two choices either abstain using abilities received lose humanity forever,"['Mystery', 'Comedy', 'Supernatural', 'Ecchi']",1
432,Lupin III Cagliostro no Shiro,successful robbery leaves famed thief iii partner nothing large amount fake money called goat bills decides track counterfeiter responsible steal treasures may find castle including damsel distress finds imprisoned however usual inspector hot trail tracking legendary counterfeits known goat bills international thief iii arrives duchy nearly rescues damsel distress regent guards following failure takes upon save captivity,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",1
433,Kuroko no Basket Movie 4 Last Game,hailing street basketball team skills comparable come japan play exhibition match team former third-year students played winter cup however due vast difference skill easily wins captain gold mocks basketball style players japan comparing monkeys infuriated nasty comment challenges revenge match pride belief results different accepts challenge assembles swords team composed generation miracles including taiga ones stand chance foe seems unbeatable every angle,"['Sports', 'School', 'Shounen']",1
434,Koukaku Kidoutai Stand Alone Complex - Solid State Society,two years since left section new leader team considerably increased appointed personnel expanded new section confronts rash complicated incidents investigations reveal ultra-wizard hacker named puppeteer behind entire series events midst stalking case separate track encounters goes away saying stay away solid state society left doubt mind could puppeteer series intriguing incidents section faces gradually link together almost artistically puppeteer happen relationship full truth behind carefully planned perfect crime outcome mysteries surround solid state society,"['Military', 'Sci', 'Fi', 'Mystery', 'Police', 'Mecha', 'Seinen']",1
435,Gankutsuou,year french aristocrats viscount baron attend festival carnival moon city looking fun seeking something fill life finds bargained count monte mysterious charming self-made nobleman meets gaze opera performance twists turns befriends count introduces french society count however mind friendship plots finally unleash vengeance wronged years earlier follows count intertwined destinies ultimate price paid enacting revenge,"['Drama', 'Mystery', 'Sci', 'Fi', 'Supernatural', 'Thriller']",1
436,Fate stay night Unlimited Blade Works Prologue,city city surrounded ocean mountains becomes setting age-old ritual realize mythical holy grail said grant wish possessor seven masters given seven heroic spirits chosen grail heroic spirits servants saber lancer archer rider caster assassin berserker master enter contract assigned servants battle masters servants death one pair remains holy grail war story focuses primarily heroine father death enters holy grail war sole heir prestigious household servant archer soon finds boy high school gotten involved battles unexpectedly saves fatally injured,"['Action', 'Fantasy', 'Magic', 'Supernatural']",1
437,Diamond no Ace,stray pitch completely missed batter loses final middle school baseball game frustrated defeat teammates vow reach national tournament high school everything changes scout unexpectedly invites prestigious high school seeing potential unusual pitching style encouraged teammates accepts offer ready improve skills play much competitive level baseball however surrounded large number skilled players struggles find place team declares one day become team ace fellow first year take title first breakneck fastballs earn coveted spot starting roster addition talented new players already powerful lineup baseball team aims become best japan facing number formidable foes stand way,"['Comedy', 'School', 'Shounen', 'Sports']",1
438,Detective Conan Movie 18 The Sniper from Another Dimension,vicious sniper appeared rendering people scared outside figure meaning behind killings capture mysterious sniper lives lost,"['Action', 'Mystery', 'Police', 'Shounen']",0
439,Darker than Black Kuro no Keiyakusha,years since heaven gate appeared south hell gate appeared japan veiling familiar night sky oppressive skyscape purposes unknown gates spaces laws physics ignored appearance gates emerged contractors exchange humanity granted supernatural abilities city surrounding hell gate section chief finds odds infamous contractor codenamed called black reaper underground world like associates undertakes missions mysterious ruthless syndicate slowly peeling back dark layers covering nefarious plot threatens existence contractors mind comes thriller taking form subtle expose war political positions justice sway war waged exclusively shadows,"['Action', 'Sci', 'Fi', 'Mystery', 'Super', 'Power']",1
440,Detective Conan Movie 08 Magician of the Silver Sky,kid crosses swords annual installment detective movie franchise receiving letter thief famous actress seeks help private detective protect star sapphire jewel destiny said represent faith fate hope thinking deciphered kid riddle personally shows newly constructed space theater acting play order catch kid act next day gang invited holiday home celebrate thwarting kid plan success play however triumph crumbles murder occurs flight although unintentional sets series events escalate catastrophic results kid unlikely allies must work together save friends every passenger aboard plane,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",0
441,Bungou Stray Dogs 3rd Season,following conclusion three-way organizational war government bureaucrat recalls event transpired years ago death former port mafia boss still new recruit time tasked investigating rumors related mysterious explosion decimated part city years ago connection alleged reappearance former boss due circumstances control partnered gifted yet impulsive leader rival clan known uncover truth behind case shine light myth god fire might lead case solution meanwhile present day business usual armed detective agency peaceful break last long however enemies old new gather strength prepare another face-off,"['Action', 'Mystery', 'Seinen', 'Super', 'Power', 'Supernatural']",1
442,Tengen Toppa Gurren Lagann Movie 1 Gurren-hen,animation studio presented website release movie adaptation series fall original director series script editor return work new project also hosting four events celebrate occasion year international anime fair featuring voice actors anime,"['Action', 'Comedy', 'Mecha']",0
443,Tsubasa Shunraiki,project part ova released limited editions volumes two series plots linked together cover country arc scarcely country arc,"['Action', 'Adventure', 'Mystery', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",1
444,Shoujo Shuumatsu Ryokou,amid desolate remains once-thriving city rumbling motorbike breaks cold winter silence riders last survivors war-torn city scavenging old military sites food parts two girls explore wastelands speculate old world pass time occasionally struggle looming solitude sharing weight two last humans becomes bit bearable clumsy excitement calm composure dark days get little brighter shooting practice new books snowball fights frozen battlefield among scenery barren landscapes deserted buildings tells uplifting tale two girls quest find hope bleak dying world,"['Adventure', 'Mystery', 'Sci', 'Fi', 'Slice', 'of', 'Life']",1
445,Shijou Saikyou no Deshi Kenichi,weak legs would rather spend time reading self improvement books fighting however finally works courage become strong join school karate club coerced fighting bullying upperclassman intent getting kicked club give falls mysterious new classmate order face challenge undergoes rigorous training lives initial training masters allow defeat upperclassman however fighting prowess brings attention powerful gang delinquents wishing protect things loves determined strength face increasing adversity must learn various martial arts resident masters taking karate martial arts combining create fighting style,"['Action', 'Comedy', 'Martial', 'Arts', 'School', 'Shounen']",1
446,Shoujo Kakumei Utena,meeting traveling prince consoled deaths parents vowed become prince prince left ring bearing strange rose crest promise would meet day years later attends academy drawn dangerous game duelists rings matching compete unique prize rose bride mysterious powers wins duel realizes free discover secrets behind academy one option revolutionize world blends surrealist imagery ideas complex allegories metaphors create unique coming-of-age story themes including idealism illusions adulthood identity,"['Comedy', 'Drama', 'Fantasy', 'Mystery', 'Psychological', 'Shoujo']",1
447,Omoide no Marnie,suffering frequent asthma attacks young anna quiet unsociable isolated peers causing foster parent endless worry upon recommendation doctor anna sent countryside hope cleaner air relaxing lifestyle improve health help clear mind engaging passion sketching anna spends summer days living aunt uncle small town near sea one day wandering outside anna discovers abandoned mansion known marsh house however soon finds residence vacant appears running mysterious girl named bubbly demeanor slowly begins draw anna returns night night meet new friend seems strange girl meets eye time town nears end anna begins discover truth behind walls marsh house tells touching story young girl journey self-discovery friendship summer remember rest life,"['Mystery', 'Psychological', 'Drama']",0
448,Nanatsu no Taizai Imashime no Fukkatsu,fierce battle captain seven deadly sins great holy knight devastating consequences armed fragments necessary revival demon clan breaks seal allowing commandments escape mighty warriors working directly demon king mysterious connection instantly identifies likewise commandments seem sense presence demons leave path destruction wake seven deadly sins must find way stop demon clan drowns blood terror,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']",1
449,Nagi no Asu kara,long ago humans lived beneath sea however people preferred surface abandoned living underwater permanently consequence stripped god-given protection called allowed breathe underwater time rift denizens sea surface widened although contact two peoples still existed follows story along childhood friends forced leave sea attend school surface group also meets fellow student fisherman loves sea friend lives bound change deal deep-seated hatred discrimination people sea surface storms personal lives well impending tempest may spell doom dwell surface,"['Drama', 'Fantasy', 'Romance']",0
450,Mahoutsukai no Yome,-year-old girl sold five million pounds auction tall masked gentleman abandoned young age ridiculed peers unconventional behavior ready give buyer meant place home chains way unknown fate hears whispers robed men along path gossiping complaining buyer got hands rare sleigh ignoring murmurs mysterious man leads girl study reveals magus brief confrontation bit teleportation magic two open eyes picturesque cottage rural greeted fairies surrounded weird wonderful beings upon arrival events mark beginning story apprentice supposed bride ancient magus,"['Slice', 'of', 'Life', 'Magic', 'Fantasy', 'Shounen']",1
451,Kuragehime,ever since late mother took aquarium young obsessed jellyfish comparing flowing tentacles princess white dress living five unemployed women -year-old spends days social outcast dreaming becoming illustrator however life changes forever one day beautiful woman unexpectedly helps save jellyfish local pet store stranger confident fashionable complete opposite roommates begins regularly visit girl building trendy hipster though appearing shallow first harbors secrets starting fact really girl wealthy male college student named,"['Slice', 'of', 'Life', 'Comedy', 'Josei']",1
452,Kono Subarashii Sekai ni Shukufuku wo ,dying laughable pathetic death way back buying game high school student recluse finds sitting beautiful obnoxious goddess named aqua provides two options continue heaven reincarnate every gamer dream real fantasy world choosing start new life quickly tasked defeating demon king terrorizing villages goes choose one item kind aid quest future hero selects aqua made grave mistake aqua completely useless unfortunately troubles end turns living world far different plays game instead going thrilling adventure duo must first work pay living expenses indeed misfortunes begun,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'Supernatural']",1
453,Kaze Tachinu,although nearsightedness prevents ever becoming pilot leaves hometown study aeronautical engineering imperial university one simple purpose design build planes like hero aircraft pioneer arrival capital coincides great earthquake saves maid serving family young girl named disastrous event marks beginning two decades social unrest malaise leading japan eventual surrender world war years leading production infamous zero fighter aircraft test every fiber witnessing firsthand growing antisemitism fatefully reuniting summer resort many travels life experiences urge onward even realizes role creations war reality waning health beloved time marches must confront impossible question cost chase beautiful dream,"['Drama', 'Historical', 'Romance']",0
454,Itsumo Kokoro ni Taiyou wo ,follows story manga name high school boy finds room boarding house costs yen month catch,"['Comedy', 'Ecchi']",1
455,Initial D Fourth Stage,brothers formed project racing team aimed bringing driving skills full potential outside prefecture using internet project issues challenges racing teams posts results races managed team engaging downhill battles challenges opponents uphill among rivals seven-star leaf,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",1
456,High Score Girl Extra Stage,four years first met remain best friends tensions start build teacher becomes stricter ever develops feelings though may composed thoughtful person around within one thing started unconditional love video games,"['Comedy', 'Game', 'Romance', 'School', 'Seinen']",1
457,Gintama Shinyaku Benizakura-hen,according online released 15th new special bundled limited edition running gag ben episode animation staff reuse new years footage would sit around eating bowl tangerines discuss elaborate subjects complains reusing animation footage always ending gag pointless announcement,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci', 'Fi', 'Shounen']",0
458,Baccano Specials,three episodes made light novels flesh characters plot events original series establish closure story carol vice president return new york,"['Action', 'Mystery', 'Comedy', 'Historical', 'Supernatural']",1
459,Akira,japan explosion caused young boy psychic powers tears city ignites fuse leads world war iii order prevent destruction captured taken custody never heard year restored version city known area rife gang violence terrorism current government stands place leads capsules group misfits known riding large custom motorcycles constant conflict rivals clowns one battles best friend caught accident finds streets escaping confinement government institution encounter begins develop mysterious abilities government seeks quarantine latest psychic desperate attempt prevent unleashing destructive power could bring city knees,"['Action', 'Military', 'Sci', 'Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']",1
460,Aria The Natural,continues training become undine professional tour guide gondolier along friends peaceful city despite fact three girls competing companies constantly together learning become better tour guides mysteries group continues meet interesting unforgettable people daily routines also come closer secrets make enigmatic ever beautiful city warm alive welcome back city miracles created hand,"['Fantasy', 'Sci', 'Fi', 'Shounen', 'Slice', 'of', 'Life']",1
461,Nodame Cantabile Paris-hen,conquers fear flying exceptional performance piano competition earns invitation study prestigious conservatoire pair together take next step careers new rising conductor wing great maestro pupil esteemed piano professor course music world much bigger two could ever imagined alongside old friends new rivals must fight persevere reach dazzling musical heights await never losing sight matters,"['Comedy', 'Josei', 'Music', 'Romance', 'Slice', 'of', 'Life']",1
462,Seirei no Moribito,precipice cataclysmic drought star readers shin empire must devise plan avoid widespread famine written ancient myths first emperor along eight warriors slew water demon avoid great drought save land become shin water demon appear death could bring salvation however water demon manifests within body emperor son prince emperor order sacrificed save empire meanwhile mysterious spear-wielding mercenary named balsa arrives shin business saving thinly veiled assassination attempt tasked mother protect emperor hunters bound sacred vow made balsa accepts follows balsa embarks journey protect exploring beauty life nature family bonds form strangers,"['Action', 'Adventure', 'Historical', 'Fantasy']",1
463,Mobile Suit Gundam Unicorn,year universal century three years char failed attempt force human migration space life continues colonies orbiting earth one colony side home links -year-old lives quiet life among classmates last descendant great tyrannical family takes upon steal key mysterious device known box said box power shape course universe travels side attempt take current holder keep sleeves surviving remnant char search stumbles across changes life forever side comes attack sleeves prolific fighters full frontal takes control newly built unicorn defend friends protect fate humankind,"['Action', 'Drama', 'Mecha', 'Military', 'Sci', 'Fi', 'Space']",1
464,Mobile Suit Gundam 00,distant future mankind dependence fossil fuels lead complete depletion energy crisis unlike anything world witnessed retaliation fear humanity began focusing alternative source energy solar power different nations united together form three major factions union solar energy free nations advanced union human reform league sectors access solar power generator gives limitless energy result countries dependent sale fossil fuels plunged poverty leading years warfare internal strife control solar energy amid chaos unknown paramilitary organization appeared identifying celestial aspire end warfare armed intervention using mysterious technologically advanced mobile suits known mobile suit follows story celestial four dive devastating battle three superpowers accomplish goal changing world,"['Action', 'Military', 'Sci', 'Fi', 'Space', 'Drama', 'Mecha']",1
465,Kotonoha no Niwa,rainy morning aspiring shoemaker decides skip class sketch designs beautiful garden meets beautiful yet mysterious woman first time offering make new shoes continues meet throughout rainy season without even realizing two able alleviate worries hidden hearts however personal struggles disappeared completely end rainy season approaches relationship put test,"['Slice', 'of', 'Life', 'Psychological', 'Drama', 'Romance']",0
466,Detroit Metal City,dominating world indie music metal city popular death metal band known dark crude style extravagant lead singer johannes especially infamous demonic risen fiery pits hell order bring world knees lord mortals least publicized unbeknownst many alter ego average college graduate named although soft-spoken peace-loving would rather listen pop day must participate garish concerts order make ends meet metal city chronicles hilarious misadventures attempts juggle hectic band life seemingly budding romance dealing incredibly obsessive dedicated fans,"['Music', 'Comedy', 'Seinen']",1
467,Ansatsu Kyoushitsu,mysterious creature chops moon permanent crescent students class middle school find confronted enormous task assassinate creature responsible disaster earth suffers similar fate however monster dubbed indestructible teacher able fly speeds mach demonstrates freely leaving attempt subdue extraterrestrial dust furthermore misfits soon find strange tentacled beast indomitable best teacher ever adapted humorous hit manga tells story junior high pupils polish assassination skills grow order stand strong oppressive school system life problems one day,"['Action', 'Comedy', 'School', 'Shounen']",0
468,Uchouten Kazoku 2,uncovering truth behind father untimely death life four brothers returns relative peace trying live father greatness way eldest aims become next trick leader society starts reinstating popular tournament restoring former abilities whilst little content continuing work family factory third son simply means embracing fool blood inherited father living carefree interesting life course includes hunting mysterious elusive snake-like creature known causing ripples trouble every turn however ripples threaten turn waves return estranged son brother teacher professor bears grudge father father apprentice well loyalties suddenly brought question must use wit appease sides without getting caught crossfire delicate balance human overthrown hell breaks loose,"['Comedy', 'Demons', 'Drama', 'Fantasy', 'Slice', 'of', 'Life']",0
469,Nisemonogatari,surviving vampire attack meeting several girls plagued supernatural entities trying get life things high school student deal lately top wakes one morning find kidnapped tied girlfriend run afoul swindler conned family taken upon imprison keep safe con man gets frantic message sister learns fraud set sights along troubles sister issues two mysterious women seem know special group friends step lives even could anticipate true goals catastrophic truths soon revealed,"['Mystery', 'Comedy', 'Supernatural', 'Ecchi']",1
470,Skip Beat ,bright diligent yet naive -year-old works hard support career dreams childhood friend crush rising pop icon toiling endlessly burger joints tea ceremonies innocent remains unaware day day tireless efforts taken granted one day finds beloved sees nothing free servant shocked heartbroken enraged vows take revenge rookie star entering ruthless world entertainment steps new life face new challenges well people push comfort zone based best-selling manga skip beat showcases growth young woman slowly unlearns work bone satisfaction others takes future hands instead,"['Comedy', 'Drama', 'Romance', 'Shoujo']",0
471,One Piece Episode of Merry - Mou Hitori no Nakama no Monogatari,story arcs aboard straw hat crew first ship going merry merry adaptations recreated brand-new animation fight robin disappearance crew final farewell ship going merry treated another member straw hats rest crew set sail legendary treasure one piece,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super', 'Power']",0
472,Mr Pen Pen,pen-pen hat-and-tie-wearing prince penguin land turns unexpectedly little doorstep invites zany friends stay based manga,"['Comedy', 'Kids', 'Shoujo']",1
473,Naruto Shippuuden,two half years since left hidden leaf village intense training following events fueled desire stronger mysterious organization elite rogue ninja closing grand plan may threaten safety entire world although older sinister events loom horizon changed little personality still rambunctious childish though far confident possesses even greater determination protect friends home come whatever may carry fight important even expense body continuation saga boy wishes become,"['Action', 'Adventure', 'Comedy', 'Super', 'Power', 'Martial', 'Arts', 'Shounen']",0
474,Mahoutsukai no Yome Hoshi Matsu Hito,many hardships life ended auction purchased freed renowned thorn sorcerer stay become apprentice though life wonderful arrival picture book lonely little star brings back memories trying times loneliness endured child experienced great tragedy mother death shunned unwanted peers relatives alike lived detached pitiful life however unexpected discovery mysterious library forest provides temporary place solace reading countless books spending time kindhearted librarian slowly begins feel less alone world could peculiar library darker side,"['Slice', 'of', 'Life', 'Magic', 'Fantasy', 'Shounen']",1
475,Cardcaptor Sakura,garden-variety ten-year-old fourth grader one day stumbles upon mysterious book containing set cards unfortunately little time divine cards mean accidentally stirs magical gust wind unintentionally scatters cards world suddenly awakened book beast seal nicknamed tells released mystical cards created sorcerer reed cards ordinary playthings possesses incredible powers like acting independently sealed cards within book cards set free pose grave danger upon world prevent cards causing catastrophe appointing title granting sealed key tasks finding recapturing cards alongside best friend guidance must learn balance new secret duty everyday troubles young girl involving love family school takes flight magical adventures,"['Adventure', 'Comedy', 'Drama', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",0
476,Gensei Shugoshin P-hyoro Ikka OVA,based fantasy manga serialized princess magazine,"['Adventure', 'Fantasy', 'Shoujo']",1
477,Yoru wa Mijikashi Arukeyo Otome,mysterious night seems last year ordinary college student continues chase one underclassmen girl black hair girl dreams relying simple plan calculatingly bump every day making seem like meaningful coincidence however efforts remain futile relationship progressing meanwhile black-haired girl believes everything connected fate endeavors experience many new things possible leaving destiny decide strolling along lively streets discovers beginning fateful journey book child currently sold second-hand bookstore upon knowing college student eyes another opportunity run chance time hopes get book finally grasp thread fate could connect hearts,"['Comedy', 'Romance']",1
478,Non Non Biyori Repeat,far hustle bustle urban life single candy store bus route name rural certainly place everyone nevertheless village children still manage cheerfully spend days exploring fun wilderness around one child youngest group looks forward entrance ceremony upcoming school year entry first grade beginning elementary school life attending school town friends seventh grader eighth grade sister make rural lifestyle playing studying everyday meanwhile fifth grader moved unaware numerous adventures memories await,"['Comedy', 'School', 'Seinen', 'Slice', 'of', 'Life']",0
479,xxxHOLiC Rou,years events melancholic taken shop formerly run mysterious due promise made companions live together relative contentment familiar faces arrive every former rival turned-steadfast friend former psychic prodigy studies folklore university encounter case perfect master shop eventually receives visit grandfather requests investigates grandson dreams inside dream world discovers past adventures played perspective view leading discover truths years ago secrets ties bind friendship,"['Mystery', 'Supernatural']",1
480,Warau Salesman Tokubetsu Bangumi,special program salesman episodes released blast format days nearly hour long individual episodes ops first blast release differed main series live-action footage real locations japan delving story episode 2nd master interacting viewer behind scenes studio delving episode 3rd master playing outside snow reporting on-location event viewer delving episode,"['Psychological', 'Supernatural', 'Seinen']",1
481,Mahou Shoujo Lyrical Nanoha The Movie 2nd A's,six months passed since events previous movie fate returned city lindy legal guardian living life normal elementary schoolgirl along friends reunion two new-found friends cut short however assaulted four ancient magic users identify motives behind actions become clear fate find race time stop reactivation highly dangerous artifact known book darkness,"['Action', 'Magic', 'Comedy', 'Sci', 'Fi', 'Drama']",1
482,Death Parade,death heaven hell bar stands reincarnation oblivion attendant one another challenge pairs recently deceased random game fate either ascending reincarnation falling void wagered whether bowling darts air hockey anything person true nature revealed ghastly parade death memories dancing whims bar master welcome arbiter afterlife awaits death parade expands upon original one-shot intended train young animators follows yet people receiving judgment strange black-haired guest causes begin questioning rulings,"['Game', 'Mystery', 'Psychological', 'Drama', 'Thriller']",1
483,Asobi Asobase,recess foreign transfer student know english plays game look-the-other-way loud-mouthed airhead rowdy behavior spurs ire deadpan loner constantly teased older sister tendency lose games willing compete declines offer join fun eventually gets involved anyway dispenses brand mischief soon strange friendship blossoms peculiar trio decide form pastime club free resume daily whether failing learn english trying desperately become popular getting caught teachers wrong time school life never boring girls hilarious antics,"['Comedy', 'School']",1
484,Mahou Shoujo Madoka Magica Movie 1 Hajimari no Monogatari,best friend ordinary middle school students city one day encounter strange cat-like creature named claims grant one wish exchange would become magical girls fight evil perpetrated witches veteran magical girl area decides show hunt witches mysterious transfer student warns take deal though refuses say however witnessing brutal reality fighting witches girls decide may safer decline offer another magical girl arrives city decides make wish help one loves things quickly escalate confronted harsh truth behind powers ultimate price wishes,"['Psychological', 'Drama', 'Magic', 'Thriller']",0
485,Kamisama Hajimemashita ,familiars survived quite challenges since took mantle shrine patron god naturally wind god comes invite divine assembly home gods chooses take leaving pose school however ulterior motive attending divine assembly discover whereabouts missing lord former god shrine adventures meets child looking someone knows well turned goth idol needs prince return home mount stop tyranny taken rule hometown however soon discovers force much darker work mountain fledgling god becoming accustomed divinity finds dealing rebellion blooming feelings strange man ties past future,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",1
486,JoJo no Kimyou na Bouken Part 3 Stardust Crusaders,years ancient evil salvaged depths sea sits peacefully within jail cell committed crime yet demands released believing possessed evil spirit capable harming around concerned son holly asks father convince leave prison informs grandson evil spirit fact something called stand physical manifestation one fighting spirit adopt variety deadly forms fiery brawl friend forced cell begins learning control power stand however stand awakens within holly threatens consume days grandfather allies must seek destroy immortal vampire responsible condition must travel halfway across world along way battle ferocious stand users set thwarting allies fail mission humanity destined grim fate,"['Action', 'Adventure', 'Supernatural', 'Drama', 'Shounen']",0
487,Hajime no Ippo Mashiba vs Kimura,finally championship match takes place annual champion carnival must face intense champion junior lightweight championship,"['Comedy', 'Shounen', 'Sports']",1
488,Given,tightly clutching guitar steps dark apartment begin another day high school life taking nap quiet spot gymnasium staircase chance encounter fellow student berates letting guitar strings rust break noticing knowledge instrument pleads fix teach play eventually agrees invites sit jam session two band mates bassist drummer voice strikingly beautiful filling determination make lead singer band though reticent first takes offer emotional meeting old friend support new friends must learn play guitar also come terms mysterious circumstances led owner,"['Drama', 'Music', 'Romance', 'Shounen', 'Ai', 'Slice', 'of', 'Life']",1
489,Dororo,greedy samurai lord land dying would anything power even renounce make pact demons prayers answered demons grant power desires aiding prefecture growth price first son born boy limbs nose eyes ears even skin yet still lives child disposed river forgotten luck would saved medicine man provides prosthetics weapons allowing survive fend boy lives grows although see hear feel anything must defeat demons took sacrifice death one regains part rightfully many years wanders alone one day orphan boy befriends unlikely pair castaways fight survival humanity unforgiving demon-infested world,"['Action', 'Adventure', 'Historical', 'Demons', 'Supernatural', 'Samurai', 'Shounen']",0
490,Diamond no Ace Act II,picking next year end fall tournament high school baseball team battle new old faces begin tournament run,"['Comedy', 'Sports', 'School', 'Shounen']",0
491,Dragon Ball Super Movie Broly,forty-one years ago planet home infamous warrior race king noticed baby named whose latent power exceeded son believing power would one day surpass child king sends desolate planet father follows intent rescuing son however ship gets damaged causing two spend years trapped barren world unaware salvation would one day come unlikely ally years later earth son prince believed last survivors race busy training remote island sparring interrupted appearance old enemy drives search last wish-granting dragon balls frozen continent shows new allies extremely powerful legendary battle shakes foundation world ensues face warrior without equal whose rage waiting unleashed,"['Action', 'Adventure', 'Comedy', 'Super', 'Power', 'Martial', 'Arts', 'Fantasy', 'Shounen']",0
492,Black Lagoon The Second Barrage,rock joined lagoon company pirate mercenary group operates despite initial protests filthy slum depraved souls merciless criminals serves former home stranded nothing left past life clothes back inner morality rock forced perform jobs alongside members lagoon crew berated lack spine wades underbelly society must decide whether continue amidst gunfire ruthlessness risk everything attempt free whether chooses comfort familiar land freedom outlaw decision lasting consequences crew gave home,"['Action', 'Seinen']",0
493,Working Lord of the Takanashi,light-hearted working franchise comes close final episode concluding season get closure desperately needs distant mother relationship jun continue remain stagnant awkward perhaps even take step forward deepening eccentric friendship end restaurant might finally get new chief beautifully connected events intertwine give characters final ending stories,"['Comedy', 'Romance', 'Seinen', 'Slice', 'of', 'Life']",0
494,Space Dandy 2nd Season,second season space dandy space dandy dandy guy space dreamy adventurer to-die-for pompadour travels across galaxy search aliens one ever laid eyes new species discovers earns hefty reward dandy quick feet first come first served accompanied sidekicks rundown robot named meow cat-looking space alien dandy bravely explores unknown worlds inhabited variety aliens join best dressed alien hunter space time embarks adventure ends edge universe,"['Space', 'Comedy', 'Sci', 'Fi']",1
495,Saiki Kusuo no -nan Kanketsu-hen,adaptation final chapters manga,"['Comedy', 'School', 'Shounen', 'Slice', 'of', 'Life', 'Supernatural']",1
496,Non Non Biyori Movie Vacation,summer vacation drawing end wins free trip five students branch school excited end vacation bang along teacher candy store owner everyone goes fun three-day trip makes friends girl helps hotel stay,"['Comedy', 'Slice', 'of', 'Life', 'Seinen']",0
497,Kuroshitsuji Book of Murder,behest queen earl hosts lavish dinner party attended several finest members polite society well struggling author party reaches high terrible murder takes place none earl suspected crime violent storm rages outside death count continues climb household eminent guests find must cooperate order solve mystery fall prey mysterious murderer however seems even perfect butler safe horror,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",1
498,Kawaki wo Ameku,music video song,['Music'],0
